"FECHA_ORDEN","FECHA_VENCIMIENTO","FECHA_ORDEN_PAGADA","ORDEN_DE_COMPRA","MONTO","TIPO_MONEDA","NOMBRE_PROVEEDOR","RUBRO"
"27-07-2020","05-08-2020","07-08-2020","20CAL01222",27300000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJO PORRO (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01226",56700000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",MELON (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01221",854700000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",PLATANO (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01220",26460000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",CALABACIN (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01219",107625000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",PAPA (E)
"27-07-2020","05-08-2020",,"20CAL01219",107625000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",PAPA (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01218",99225000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",TOMATE (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01217",44415000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",PIMENTON (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01216",18270000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",CEBOLLIN (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01215",20475000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",CELERI (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01214",33600000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",REPOLLO (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01213",32550000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AUYAMA (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01228",139387500,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",CEBOLLA (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01229",18112500,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",LIMON (E)
"03-08-2020","05-08-2020","07-08-2020","20CAL01252",20475000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",CILANTRO (E)
"19-08-2020","26-08-2020","15-10-2020","20CAL01285",7242077000,BOLIVAR,"CONSORCIO OLEAGINOSO PORTUGUESA, S.A. COPOSA",UNTABLE DE MARGARINA  (E)
"19-08-2020","26-08-2020","15-09-2020","20CAL01286",1650000000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",SAL (E)
"23-10-2020","05-11-2020","17-11-2020","20CAL01379",11728837000,BOLIVAR,"CONSORCIO OLEAGINOSO PORTUGUESA, S.A. COPOSA",MARGARINA (E)
"23-10-2020","11-11-2020","17-11-2020","20CAL01378",4599543900,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 100 GR
